流水號,大類別,From,post_url,created_time,post_type,postID,post_message,status_type,link,轉貼標題(name),留言數,按讚數,分享數,update_time
1,post,馬英九總統(118250504903757),http://www.facebook.com/118250504903757_1094020483993416,2016/01/19 13:30:10,photo,118250504903757_1094020483993416,昨天我接見了美國前副國務卿伯恩斯（William Burns）先生，他這次以美國高階特使的身份在大選後來到臺灣。上週六選舉結果揭曉後，美國國務院發表了公開聲明，除了向民進黨蔡英文主席表示祝賀，也公開感謝我上任後這幾年致力與美國發展堅實夥伴關係，並對我們近年來為改善兩岸關係所採取的具體措施表示讚賞。（The United States thanks President Ma Ying-jeou for his efforts to develop a strong partnership with the United States and applauds him for concrete steps he has taken to improve cross-Strait ties in recent years.）。（美國國務院新聞稿連結: http://goo.gl/fuJf6q）這次來訪，伯恩斯先生也告訴我，「臺美間的非官方關係從來沒像目前這麼好（has never been better），您對此有極大的功勞（deserve much credits）」，本次的選舉結果，也再次彰顯臺灣民主是一個成功的故事。對於這些來自美國國務院的肯定，我也特別向伯恩斯先生表達感謝。我也告訴伯恩斯先生，上個禮拜我國和平完成了總統大選，過程十分平和，顯示臺灣民主已逐漸成熟，也代表中華民國憲政秩序穩固。選舉結果出爐後，我也致電蔡英文主席，除了表達我的衷心祝賀，也希望新的政府上任後，能夠持續維持臺海和平與繁榮的現狀。,added_photos,https://www.facebook.com/MaYingjeou/photos/a.140389499356524.27404.118250504903757/1094020483993416/?type=3,Timeline Photos,1667,29206,475,2016/01/19 13:30:10
1_1,comment,Mei Zu Ly(390356731148131), ,2016/01/19 13:30:43, ,1094020483993416_1094021017326696,林佳龍 建議各民主國家保護台灣？可惜？台灣？已不是民主？而是日本台獨民粹？綠色民粹惡魔？誰來保護民粹？都在洗腦人民？泯進黨不倒？台灣不會好？    1050101 s 5, , , , ,34, , ,
1_2,comment,趙一璇(347838708748352), ,2016/01/19 13:31:13, ,1094020483993416_1094021170660014,別見不得人好而反對 遷都有成台灣任督二脈打通經濟會欣欣向榮有心要做 樂觀其成, , , , ,2, , ,
1_3,comment,Tina Lin(10203863364252740), ,2016/01/19 13:31:30, ,1094020483993416_1094021267326671,馬總統 我只認你啊啊啊??????, , , , ,82, , ,
1_4,comment,Richard Chiang(151656711861936), ,2016/01/19 13:31:39, ,1094020483993416_1094021303993334,民進黨不滅亡，台灣不會好。, , , , ,86, , ,
1_5,comment,Mei Yi Pan(864020680331915), ,2016/01/19 13:32:13, ,1094020483993416_1094021423993322,馬總統加油！！！, , , , ,38, , ,
1_6,comment,Alessaendra Liu(10206689407968842), ,2016/01/19 13:32:15, ,1094020483993416_1094021433993321,水利局分局長, , , , ,0, , ,
1_7,comment,魏嘉彥(1084836351531564), ,2016/01/19 13:32:36, ,1094020483993416_1094021503993314,, , , , ,8, , ,
1_8,comment,魏嘉彥(1084836351531564), ,2016/01/19 13:32:42, ,1094020483993416_1094021520659979,加油！！！, , , , ,25, , ,
1_9,comment,鍾世豪(1534829640179028), ,2016/01/19 13:32:48, ,1094020483993416_1094021560659975,馬英九加油, , , , ,30, , ,
1_10,comment,Junli  Chen(497862600377604), ,2016/01/19 13:33:44, ,1094020483993416_1094021773993287,我們只有馬總統, , , , ,13, , ,
1_11,comment,Ton  Zhang(518479088323425), ,2016/01/19 13:33:49, ,1094020483993416_1094021817326616,歷史潮流往前走！, , , , ,0, , ,
1_12,comment,?路程(130764767306682), ,2016/01/19 13:34:15, ,1094020483993416_1094021907326607,???我?支持你, , , , ,8, , ,
1_13,comment,鍾?雯(652651698203199), ,2016/01/19 13:34:21, ,1094020483993416_1094021943993270,馬總統 辛苦你了 台灣的驕傲!!, , , , ,48, , ,
1_14,comment,朱俊鴻(10203429144684302), ,2016/01/19 13:34:41, ,1094020483993416_1094022003993264,馬總統 對民主之路不要太樂觀 最近台獨意識高漲 媒體跟民眾道德淪喪 在不夠成熟的狀況民主會步入印度的後塵, , , , ,68, , ,
1_15,comment,李?先(228633340803563), ,2016/01/19 13:34:44, ,1094020483993416_1094022033993261,, , , , ,0, , ,
1_16,comment,挺馬英九聯盟(239960316160694), ,2016/01/19 13:34:45, ,1094020483993416_1094022040659927,是的，馬總統是真正為中華民國著想的總統。一心只想為國家謀最大的利益，守護國家主權和這面用血汗換來的青天白日滿地紅國旗。跟許多光用嘴愛國的人是完全不同的。馬總統，我們愛你！, , , , ,2657, , ,
1_17,comment,Roy NimaZahi(773237622808981), ,2016/01/19 13:34:53, ,1094020483993416_1094022070659924,快來大陸吧，民進黨不會放過你的，習大大給你個常委，讓你帶領內地國民黨參政議政，在北京頤養天年…, , , , ,6, , ,
1_18,comment,卉兒(978173638873136), ,2016/01/19 13:34:57, ,1094020483993416_1094022093993255,馬總統您是最棒的 辛苦您了！, , , , ,15, , ,
1_19,comment,李?先(228633340803563), ,2016/01/19 13:35:05, ,1094020483993416_1094022130659918,?先生，加油, , , , ,6, , ,
